Topic,Count,Name,Representation,Readable,MMR Keywords
-1,9008,-1_vacuna covid_vacunas_vacunación_vacuna,"['vacuna covid', 'vacunas', 'vacunación', 'vacuna', 'vacunados', 'vacuna influenza', 'pandemia', 'dosis vacuna', 'enfermedades', 'enfermedad']",['Críticas y controversias sobre las vacunas y las pandemias'],"['vacuna covid', 'vacunación', 'pandemia', 'dosis vacuna', 'enfermedades', 'astrazeneca', 'covid 19', 'dijo', 'pfizer', 'moderna']"
0,4541,0_vacuna covid_vacunas_vacuna_vacuna co,"['vacuna covid', 'vacunas', 'vacuna', 'vacuna co', 'culpa vacuna', 'efectos adversos', 'efectos', 'pandemia', 'covid', 'covid 19']",['Eficacia y efectos secundarios de la cuarta dosis de la vacuna COVID-19'],"['vacuna covid', 'vacunas', 'vacuna co', 'culpa vacuna', 'efectos adversos', 'pandemia', 'covid 19', 'pfizer', 'enfermedades', 'después']"
1,1867,1_dengue vacuna_vacuna dengue_primera vacuna_nueva vacuna,"['dengue vacuna', 'vacuna dengue', 'primera vacuna', 'nueva vacuna', 'vacuna covid', 'dengue', 'dengue co', 'vacuna actualizada', 'vacuna malaria', 'vacuna']",['primera vacuna contra el dengue'],"['dengue vacuna', 'vacuna dengue', 'primera vacuna', 'nueva vacuna', 'vacuna covid', 'vacuna actualizada', 'vacuna malaria', 'vacunas', 'vacuna influenza', 'virus respiratorio']"
2,509,2_demanda pfizer_vacuna pfizer_vacuna covid_pfizer,"['demanda pfizer', 'vacuna pfizer', 'vacuna covid', 'pfizer', 'vacunas covid', 'vacunación', 'eficacia vacuna', 'vacunas', 'vacuna', 'farmacéuticas']",['Demanda de Texas contra Pfizer por efectividad de la vacuna COVID-19 y censura de críticas'],"['demanda pfizer', 'vacuna pfizer', 'pfizer', 'vacunas covid', 'eficacia vacuna', 'efectos adversos', 'fauci', 'médicos', 'corte suprema', 'ocultar']"
3,442,3_astrazeneca admite_astrazeneca admitió_astrazeneca vacuna_vacuna astrazeneca,"['astrazeneca admite', 'astrazeneca admitió', 'astrazeneca vacuna', 'vacuna astrazeneca', 'astrazeneca dijo', 'astrazeneca retira', 'astrazeneca covid', 'covid astrazeneca', 'farmacéutica astrazeneca', 'astrazeneca']",['AstraZeneca Covid-19 Vaccine Trombosis Admission'],"['astrazeneca admite', 'astrazeneca vacuna', 'vacuna astrazeneca', 'astrazeneca dijo', 'astrazeneca retira', 'farmacéutica astrazeneca', 'causar trombosis', 'covid puede', 'efectos secundarios', 'británico vacuna']"
4,434,4_totalmente acuerdo_gratitud decisión_gratitud_gratitud mayor,"['totalmente acuerdo', 'gratitud decisión', 'gratitud', 'gratitud mayor', 'circunstancias gratitud', 'excelente noticia', 'cambiar gratitud', 'gratitud tener', 'juego agradécelo', 'humildad agradécelo']",['Gratitud y Agradecimiento'],"['totalmente acuerdo', 'gratitud decisión', 'gratitud mayor', 'circunstancias gratitud', 'excelente noticia', 'juego agradécelo', 'humildad agradécelo', 'gratitud vacuna', 'sinceridad convicción', 'increíble']"
5,426,5_eficaz vacunarte_salud vacuna_vacuna covid_defensa vacunaste,"['eficaz vacunarte', 'salud vacuna', 'vacuna covid', 'defensa vacunaste', 'vacunación', 'esperes vacúnate', 'vacunado si', 'vacunarte', 'vacuna', 'vacunarte prevenir']",['vacuna contra COVID-19'],"['eficaz vacunarte', 'salud vacuna', 'vacuna covid', 'defensa vacunaste', 'esperes vacúnate', 'vacunarte prevenir', 'covid19 vacunado', 'vacuna herramienta', 'momento cuidémonos', 'sarampión segura']"
6,393,6_vacuna cancer_vacuna cáncer_vacunas cáncer_cáncer piel,"['vacuna cancer', 'vacuna cáncer', 'vacunas cáncer', 'cáncer piel', 'vacuna personalizada', 'crear vacuna', 'vacuna covid', 'vacuna', 'vacunas', 'rusa cáncer']",['Controversia sobre la relación entre vacunas ARNm y aumento de cáncer joven vs. avances en vacunas contra cáncer de piel.'],"['vacuna cancer', 'vacuna cáncer', 'vacunas cáncer', 'crear vacuna', 'vacuna personalizada', 'vacuna covid', 'vacuna terapéutica', 'vacuna rusa', 'weissman vacuna', 'medicina 2023']"
7,360,7_vacunación instalaciones_vacunación_vacuna influenza_vacuna hexavalente,"['vacunación instalaciones', 'vacunación', 'vacuna influenza', 'vacuna hexavalente', 'ampliado inmunización', 'inmunización', 'llegaron panamá', 'dosis vacuna', 'dosis influenza', 'salud csspanama']",['Inicio de vacunación con dosis de hexavalente e influenza en Panamá'],"['vacunación instalaciones', 'vacunación', 'vacuna influenza', 'ampliado inmunización', 'llegaron panamá', 'dosis vacuna', 'dosis influenza', 'salud csspanama', 'vacuna actualizada', 'actualizada covid']"
8,351,8_vacuna vph_solicitar vacuna_solicita vacuna_vph dejes,"['vacuna vph', 'solicitar vacuna', 'solicita vacuna', 'vph dejes', 'vacunavph protege', 'recibido vacuna', 'vacuna', 'vacuna virus', 'cuidamos vacuna', 'vacuna cuida']",['HPV Vaccine Awareness and Encouragement'],"['vacuna vph', 'solicitar vacuna', 'vph dejes', 'vacunavph protege', 'vacuna cuida', 'humano vph', 'prevención niñas', 'servicio salud', 'papiloma humano', 'futuro acércate']"
9,236,9_vacunación rabia_vacuna mascota_vacuna rabia_noviembre vacuna,"['vacunación rabia', 'vacuna mascota', 'vacuna rabia', 'noviembre vacuna', 'jornadadevacunacióncontralarabia cuida', 'octubre vacuna', 'solicita vacuna', 'jornadadevacunacióncontralarabia', 'canina solicita', 'mascotas']",['Jornada de Vacunación contra la Rabia para Mascotas en Octubre'],"['vacunación rabia', 'vacuna mascota', 'vacuna rabia', 'noviembre vacuna', 'jornadadevacunacióncontralarabia cuida', 'solicita vacuna', 'canina solicita', 'antirrábica canina', 'queridos rabia', 'mordidos mspas']"
10,194,10_queres adoptarlo_adoptarlo escribime_adoptarlo_adoptar,"['queres adoptarlo', 'adoptarlo escribime', 'adoptarlo', 'adoptar', 'perritos', 'adopción', 'perrito', 'perros', 'busca hogar', 'perrita']",['Adopción y apoyo financiero para perros rescatados'],"['queres adoptarlo', 'adoptarlo escribime', 'perritos', 'adopción', 'busca hogar', 'ayuda', '5512382370661060 bancomer', 'pérez 4152314199269617', 'escribime misionsolidariatwitter', 'puedes']"
11,180,11_carne vacuna_exportaciones carne_consumo carne_cultivadas carne,"['carne vacuna', 'exportaciones carne', 'consumo carne', 'cultivadas carne', 'carne', 'vacuna argentina', 'científicos surcoreanos', 'ganadero', 'vacuna granos', 'ganado']",['Decline in Beef Consumption and Innovation in Cultured Meat'],"['carne vacuna', 'exportaciones carne', 'cultivadas carne', 'científicos surcoreanos', 'vacuna granos', 'arnm ganado', 'ganadería', 'individuales arroz', 'vacunados ocupando', 'fiebre aftosa']"
12,162,12_dejanirasilveir co_robindelespacio co_dejanirasilveir_robindelespacio,"['dejanirasilveir co', 'robindelespacio co', 'dejanirasilveir', 'robindelespacio', 'mariaca49946720 co', 'mariaca49946720', 'erikapolet1 jessicaledezmam', 'rafaelgil251051', 'erikapolet1', 'carrascosacris_']",['Social Media Profiles and Links'],"['dejanirasilveir co', 'robindelespacio', 'mariaca49946720 co', 'erikapolet1 jessicaledezmam', 'rafaelgil251051', 'carrascosacris_ co', 'juliorazona co', 'sorayacastroll rosaace37968636', 'silvioguerram martamariaroa', 'deusvul94229466 co']"
13,140,13_vacuna poliomielitis_vacuna polio_primera vacuna_desarrolló vacuna,"['vacuna poliomielitis', 'vacuna polio', 'primera vacuna', 'desarrolló vacuna', 'jonas salk', 'polio enfermedad', 'desarrollar vacuna', 'vacuna viruela', 'vacuna', 'salk']","['Historia y controversias sobre las vacunas, específicamente las de poliomielitis y viruela']","['vacuna poliomielitis', 'vacuna polio', 'primera vacuna', 'desarrolló vacuna', 'jonas salk', 'polio enfermedad', 'vacuna viruela', 'vacunación', 'filantrópica vacuna', 'millones vidas']"
14,133,14_vacuna cubana_vacuna quimi_vacuna antineumocócica_nueva vacuna,"['vacuna cubana', 'vacuna quimi', 'vacuna antineumocócica', 'nueva vacuna', 'vio vacuna', 'ciencia cubana', 'vacuna', 'vacuna abdala', 'abdala vacuna', 'cienciacubana']",['Nuevas vacunas cubanas: Quimi-Vio y Abdala'],"['vacuna cubana', 'vacuna quimi', 'vacuna antineumocócica', 'nueva vacuna', 'vio vacuna', 'ciencia cubana', 'vacuna abdala', 'cubaessalud', 'causadas neumococo', 'edades pediátricas']"
15,124,15_corrupta verdad_siguen jodiendo_conforman maldito_maldito desorden,"['corrupta verdad', 'siguen jodiendo', 'conforman maldito', 'maldito desorden', 'seguir cometiendo', 'desorden muerte', 'muerte vacuna', 'corrupción', 'vacuna ratas', 'ratas corrupta']",['corrupción y vacunas'],"['corrupta verdad', 'siguen jodiendo', 'conforman maldito', 'maldito desorden', 'seguir cometiendo', 'vacuna ratas', 'ratas corrupta', 'perrones expolean', 'tanta barrabasada', 'delitos admintraciòn']"
16,121,16_plop plop_waooo_plop_plox plop,"['plop plop', 'waooo', 'plop', 'plox plop', 'plop hahahahaaksjsjsjsj', 'plop hdlgp', 'waoo', 'waoo waooo', 'sip waooo', 'waooo awww']",['Exclamations and Onomatopoeia'],"['plop plop', 'plox plop', 'plop hahahahaaksjsjsjsj', 'waooo awww', 'waooo 𝙌𝙪𝙚', '𝙨𝙚𝙢𝙞𝙡𝙡𝙖 plox', 'hahahahaaksjsjsjsj boom', 'boom omg', '𝙡𝙤𝙨 𝙦𝙪𝙚', 'shoooo mmmmmmm']"
