Topic,Count,Name,Representation,Readable,MMR Keywords
-1,3180,-1_vacuna covid_defensa vacunaste_vacunación_vacuna actualizada,"['vacuna covid', 'defensa vacunaste', 'vacunación', 'vacuna actualizada', 'nueva vacuna', 'vacuna', 'vacunas', 'vacunaste', 'dosis vacuna', 'vacuna influenza']",['Vacunación contra el COVID-19'],"['vacuna covid', 'defensa vacunaste', 'vacunación', 'vacuna actualizada', 'nueva vacuna', 'vacunaste', 'dosis vacuna', 'actualizada covid', 'vacuna fiebre', 'vacuna sarampión']"
0,107,0_mspas vacuna_mspas comparte_mqrwj6g0pm planvacunacovid19_mqrwj6fsae planvacunacovid19,"['mspas vacuna', 'mspas comparte', 'mqrwj6g0pm planvacunacovid19', 'mqrwj6fsae planvacunacovid19', 'planvacunacovid19', 'primera dosis', 'planvacunacovid19 co', 'vacuna covid19', 'mspas recomienda', 'días vacunaste']",['COVID-19 Vaccination Updates by MSPAS'],"['mspas vacuna', 'mspas comparte', 'mqrwj6g0pm planvacunacovid19', 'mqrwj6fsae planvacunacovid19', 'planvacunacovid19 co', 'vacuna covid19', 'mspas recomienda', 'días vacunaste', 'guatemalagob mspas', 'hfjupsyhr2 mspas']"
1,550,1_vacuna mascota_vacuna rabia_noviembre vacuna_jornadadevacunacióncontralarabia cuida,"['vacuna mascota', 'vacuna rabia', 'noviembre vacuna', 'jornadadevacunacióncontralarabia cuida', 'octubre vacuna', 'solicita vacuna', 'vacuna antirrábica', 'jornadadevacunacióncontralarabia', 'canina solicita', 'mascotas']",['October Rabies Vaccination Campaign for Pets'],"['vacuna mascota', 'vacuna rabia', 'noviembre vacuna', 'jornadadevacunacióncontralarabia cuida', 'solicita vacuna', 'vacuna antirrábica', 'canina solicita', 'antirrábica canina', 'veterinario', 'queridos rabia']"
2,869,2_dengue vacuna_vacuna dengue_primera vacuna_nueva vacuna,"['dengue vacuna', 'vacuna dengue', 'primera vacuna', 'nueva vacuna', 'segunda vacuna', 'dengue desarrollada', 'vacuna chikungunya', 'vacuna malaria', 'vacuna qdenga', 'vacuna virus']",['OMS recomienda nueva vacuna contra el dengue'],"['dengue vacuna', 'primera vacuna', 'segunda vacuna', 'dengue desarrollada', 'vacuna chikungunya', 'vacuna malaria', 'vacuna qdenga', 'salud oms', 'chikungunya co', 'mosquitos']"
3,518,3_vacuna vph_prevención niñas_protegesufuturo mspas_vacuna papiloma,"['vacuna vph', 'prevención niñas', 'protegesufuturo mspas', 'vacuna papiloma', 'solicitar vacuna', 'vacunavph protege', 'vacunación', 'solicita vacuna', 'paso prevención', 'cuidamos vacuna']",['Prevención y Vacunación Infantil contra VPH'],"['vacuna vph', 'prevención niñas', 'protegesufuturo mspas', 'vacuna papiloma', 'solicitar vacuna', 'vacunavph protege', 'paso prevención', 'cuidamos vacuna', 'vph dejes', 'servicio salud']"
4,137,4_polio vacuna_vacuna polio_vacuna poliomielitis_polio enfermedad,"['polio vacuna', 'vacuna polio', 'vacuna poliomielitis', 'polio enfermedad', 'primera vacuna', 'jonas salk', 'polio', 'vacuna viruela', 'desarrollar vacuna', 'vacuna']",['Development and Controversies of Polio and Smallpox Vaccines'],"['polio vacuna', 'vacuna polio', 'vacuna poliomielitis', 'polio enfermedad', 'primera vacuna', 'jonas salk', 'vacuna viruela', 'desarrollar vacuna', 'nueva vacuna', 'millones vidas']"
5,112,5_vacuna rusa_vacuna cancer_cáncer putin_vacuna sputnik,"['vacuna rusa', 'vacuna cancer', 'cáncer putin', 'vacuna sputnik', 'vacuna cáncer', 'anuncia vacuna', 'crear vacuna', 'vacunas cáncer', 'científicos rusos', 'rusia anuncia']",['Russian Cancer Vaccine Development'],"['vacuna rusa', 'vacuna cancer', 'cáncer putin', 'vacuna sputnik', 'anuncia vacuna', 'vacunas cáncer', 'científicos rusos', 'rusia anuncia', 'putin relevó', 'desarrolla vacuna']"
6,157,6_vacuna cubana_vacuna abdala_vacuna quimi_vio vacuna,"['vacuna cubana', 'vacuna abdala', 'vacuna quimi', 'vio vacuna', 'vacuna', 'vacuna antineumocócica', 'abdala vacuna', 'primera vacuna', 'vacuna terapéutica', 'inmunización']",['Vacunas cubanas#Abdala y Quimi-Vio'],"['vacuna cubana', 'vacuna abdala', 'vio vacuna', 'vacuna antineumocócica', 'primera vacuna', 'vacuna terapéutica', 'cienciacubana', 'cubaessalud', 'eficacia', 'cimavax']"
7,615,7_astrazeneca admite_astrazeneca admitió_vacuna astrazeneca_astrazeneca retira,"['astrazeneca admite', 'astrazeneca admitió', 'vacuna astrazeneca', 'astrazeneca retira', 'astrazeneca covid', 'covid astrazeneca', 'astrazeneca retirará', 'farmacéutica astrazeneca', 'astrazeneca', 'astrazeneca dejará']",['AstraZeneca Vaccine Admits Possible Thrombosis Side Effects'],"['astrazeneca admite', 'vacuna astrazeneca', 'astrazeneca retira', 'astrazeneca covid', 'farmacéutica astrazeneca', 'astrazeneca dejará', 'secundarios trombosis', 'admite vacuna', 'covid puede', 'retirará vacuna']"
8,252,8_nobel medicina_vacuna covid_weissman vacuna_vacuna cáncer,"['nobel medicina', 'vacuna covid', 'weissman vacuna', 'vacuna cáncer', 'vacuna', 'medicina 2023', 'primera vacuna', 'vacuna personalizada', 'investigaciones vacuna', 'vacuna argentina']",['avances en vacunas y premios Nobel en medicina'],"['nobel medicina', 'vacuna covid', 'weissman vacuna', 'medicina 2023', 'primera vacuna', 'investigaciones vacuna', 'vacuna argentina', 'científicos', 'cáncer piel', 'argentina covid']"
9,149,9_plop plop_wow plop_waooo_plop,"['plop plop', 'wow plop', 'waooo', 'plop', 'plox plop', 'plop hahahahaaksjsjsjsj', 'plop hdlgp', 'waoo', 'waoo waooo', 'sip waooo']",['Expressions of Surprise and Amusement'],"['plop plop', 'plop hahahahaaksjsjsjsj', 'sip waooo', 'waooo awww', 'waooo 𝙌𝙪𝙚', 'ahahahaha wow', '𝙨𝙚𝙢𝙞𝙡𝙡𝙖 plox', 'hahahahaaksjsjsjsj boom', 'boom omg', 'brooo shoooo']"
10,12204,10_vacuna covid_vacuna_vacunas covid_vacunas,"['vacuna covid', 'vacuna', 'vacunas covid', 'vacunas', 'vacunación', 'vacunados', 'pandemia', 'covid', 'covid 19', 'efectos adversos']",['COVID-19 vaccine controversies and adverse effects'],"['vacuna covid', 'vacunas covid', 'vacunación', 'vacunados', 'pandemia', 'enfermedades', 'pfizer', 'efectos', 'pueden', 'dosis']"
