Topic,Count,Name,Representation,Readable,MMR Keywords
-1,4660,-1_vacuna covid_vacunación_nueva vacuna_vacunados,"['vacuna covid', 'vacunación', 'nueva vacuna', 'vacunados', 'vacunas', 'vacuna', 'vacuna co', 'vacuna influenza', 'dosis vacuna', 'vacuna sarampión']",['COVID-19 vaccination updates and information'],"['vacuna covid', 'vacunación', 'nueva vacuna', 'vacunados', 'vacunas', 'vacuna influenza', 'dosis vacuna', 'vacuna sarampión', 'actualizada', 'puede']"
0,10584,0_vacuna covid_vacunas covid_vacuna_vacunas,"['vacuna covid', 'vacunas covid', 'vacuna', 'vacunas', 'vacunación', 'vacunados', 'covid', 'covid 19', 'pandemia', 'efectos adversos']",['Seguridad y controversias sobre las vacunas COVID-19'],"['vacuna covid', 'vacunas covid', 'vacunas', 'vacunación', 'covid 19', 'pandemia', 'efectos adversos', 'pfizer', 'enfermedades', 'verdad']"
1,2709,1_vacuna vph_vacunas_vacunavph protege_solicita vacuna,"['vacuna vph', 'vacunas', 'vacunavph protege', 'solicita vacuna', 'vacunación', 'vacuna cáncer', 'nueva vacuna', 'vacuna', 'primera vacuna', 'vacuna virus']",['Prevención y vacunación contra el VPH para niñas y niños'],"['vacuna vph', 'vacunas', 'vacunavph protege', 'solicita vacuna', 'vacuna cáncer', 'nueva vacuna', 'primera vacuna', 'prevención', 'salud cercano', 'niñas niños']"
2,622,2_astrazeneca admite_astrazeneca admitió_vacuna astrazeneca_astrazeneca retira,"['astrazeneca admite', 'astrazeneca admitió', 'vacuna astrazeneca', 'astrazeneca retira', 'astrazeneca covid', 'covid astrazeneca', 'astrazeneca retirará', 'farmacéutica astrazeneca', 'astrazeneca', 'astrazeneca dejará']",['AstraZeneca admits potential side effects of its COVID-19 vaccine'],"['astrazeneca admite', 'vacuna astrazeneca', 'astrazeneca retira', 'astrazeneca covid', 'astrazeneca retirará', 'farmacéutica astrazeneca', 'astrazeneca dejará', 'secundarios trombosis', 'admite vacuna', 'retirará vacuna']"
3,536,3_vacuna mascota_vacuna rabia_noviembre vacuna_jornadadevacunacióncontralarabia cuida,"['vacuna mascota', 'vacuna rabia', 'noviembre vacuna', 'jornadadevacunacióncontralarabia cuida', 'octubre vacuna', 'solicita vacuna', 'jornadadevacunacióncontralarabia', 'canina solicita', 'vacuna antirrábica', 'mascotas']",['campaña de vacunación contra la rabia para mascotas en octubre'],"['vacuna mascota', 'vacuna rabia', 'noviembre vacuna', 'jornadadevacunacióncontralarabia cuida', 'solicita vacuna', 'canina solicita', 'mascota centro', 'antirrábica canina', 'veterinario', 'queridos rabia']"
4,446,4_totalmente acuerdo_excelente noticia_excelente_totalmente,"['totalmente acuerdo', 'excelente noticia', 'excelente', 'totalmente', 'exacto', 'gratitud', 'victimismo gratitud', 'gracias', 'verdad', 'gratitud nombre']",['Gratitude and Agreement'],"['totalmente acuerdo', 'excelente noticia', 'victimismo gratitud', 'gracias', 'humildad agradécelo', 'juego agradécelo', 'cambiar gratitud', 'gratitud vacuna', 'jajaja', 'sorpresa']"
5,417,5_jornada vacunación_vacunación influenza_vacunación_vacuna hexavalente,"['jornada vacunación', 'vacunación influenza', 'vacunación', 'vacuna hexavalente', 'vacuna influenza', 'ampliado inmunización', 'inmunización', 'dosis vacuna', 'dosis influenza', 'salud csspanama']",['Jornada de Vacunación en Panamá'],"['jornada vacunación', 'vacunación influenza', 'ampliado inmunización', 'dosis vacuna', 'salud csspanama', 'vacuna actualizada', '300 dosis', 'actualizada covid', 'instalaciones salud', 'fiebre amarilla']"
6,249,6_luisabinader saludpublicard_saludpublicard luisabinader_saludpublicard farideraful_luisabinader prm_oficial,"['luisabinader saludpublicard', 'saludpublicard luisabinader', 'saludpublicard farideraful', 'luisabinader prm_oficial', 'saludpublicard prm_oficial', 'saludpublicard', 'prm_oficial presidenciard', 'drmariolama saludpublicard', 'presidenciard luisabinader', 'minsaludguate']",['Dominican Republic Public Health and Government Officials on Twitter'],"['luisabinader saludpublicard', 'saludpublicard luisabinader', 'saludpublicard farideraful', 'luisabinader prm_oficial', 'presidenciard luisabinader', 'presidenciard drmariolama', 'farideraful luisabinader', 'barevalodeleon minsaludguate', 'rodrigochavesr ccssdecostarica', 'emisorasunidas']"
7,142,7_plop plop_plop hahahahaaksjsjsjsj_plop_plox plop,"['plop plop', 'plop hahahahaaksjsjsjsj', 'plop', 'plox plop', 'wow plop', 'plop si', 'hahahahaaksjsjsjsj boom', 'hahahahahaha', 'hahahahaaksjsjsjsj', '𝙡𝙤𝙨 𝙦𝙪𝙚']",['plop and laughter reactions'],"['plop plop', 'plop hahahahaaksjsjsjsj', 'plox plop', 'wow plop', 'hahahahaaksjsjsjsj boom', '𝙡𝙤𝙨 𝙦𝙪𝙚', '𝙨𝙚𝙢𝙞𝙡𝙡𝙖 plox', '𝙌𝙪𝙚 𝙤𝙗𝙨𝙚𝙘𝙞𝙤𝙣', 'ahahahaha wow', 'hahahahahaha shoooo']"
8,106,8_mspas vacuna_mspas comparte_mqrwj6g0pm planvacunacovid19_mqrwj6fsae planvacunacovid19,"['mspas vacuna', 'mspas comparte', 'mqrwj6g0pm planvacunacovid19', 'mqrwj6fsae planvacunacovid19', 'planvacunacovid19', 'primera dosis', 'planvacunacovid19 co', 'vacuna covid19', 'mspas recomienda', 'mspas pregunta']",['MSPAS COVID-19 Vaccination Data Updates'],"['mspas vacuna', 'mspas comparte', 'mqrwj6g0pm planvacunacovid19', 'mqrwj6fsae planvacunacovid19', 'planvacunacovid19 co', 'vacuna covid19', 'mspas recomienda', 'días vacunaste', 'yf2icakyea planvacunacovid19', 'hfjupsyhr2 mspas']"
