Topic,Count,Name,Keywords
-1,1439,-1_Riesgos y Desconfianza en las Vacunas COVID-19 y el Tratado Pandémico de la OMS,"['vacuna covid', 'vacunas covid', 'vacunación', 'vacunas', 'vacunados', 'vacuna', 'dosis vacuna', 'efectos adversos', 'pandemia', 'efectos']"
0,1084,0_Vacunación y Controversias sobre la Eficacia y Ética de Nuevas Vacunas,"['vacuna actualizada', 'vacuna covid', 'vacunación', 'vacunas', 'nueva vacuna', 'vacuna sarampión', 'vacuna', 'vacuna patria', 'antivacunas', 'dosis vacuna']"
1,494,1_AstraZeneca COVID-19 Vaccine Side Effects and Market Withdrawal,"['astrazeneca retira', 'vacuna astrazeneca', 'astrazeneca', 'vacuna covid', 'efectos adversos', 'vacunas covid', 'vacuna pfizer', 'trombosis', 'efectos secundarios', 'puede causar']"
2,92,2_Gratitude and Costa Rican Public Figures,"['ccssdecostarica msaludcr', 'ccssdecostarica', 'gratitud nombre', 'rodrigochavesr ccssdecostarica', 'circunstancias gratitud', 'gratitud', 'victimismo gratitud', 'cambiar gratitud', 'quitas gratitud', 'juego agradécelo']"
3,62,3_Vacunas innovadoras y avances en medicina oncológica y ARN,"['vacuna rusa', 'vacuna cáncer', 'medicina vacuna', 'crear vacuna', 'vacuna covid', 'vacuna terapéutica', 'vacuna', 'mundo vacuna', 'rusa cáncer', 'vacuna argentina']"
4,56,4_Critique and Corruption in Government Policies and Leadership,"['pagar vacuna', 'colombianos', 'vacunatorio vip', 'cobrando vacuna', 'gobierno', 'presidente', 'corrupción', 'vacunatorio', 'ley vacunas', 'maduro']"
5,38,5_Bill Gates and Pfizer Stock Manipulation Allegations,"['pfizer pandemia', 'gates compró', 'pandemia vendió', 'gates engaño', 'millones bill', 'millones dólares', 'acciones pfizer', 'bill gates', 'millones inmediatamente', 'millones']"
6,36,6_Contributions and Conflicts involving Jews and Israel,"['judío si', 'descubrimiento judío', 'judío', 'judíos', 'judía', 'jonas salk', 'vacuna poliomielitis', 'filantrópica vacuna', 'vacuna polio', 'primera vacuna']"
7,36,7_Vaccine Updates and Availability in Costa Rica,"['costa rica', 'influenza costa', 'vacuna covid', 'actualizada covid', 'costarica mientras', 'costarica co', 'costarica', 'vacuna actualizada', 'obligatoriedad vacuna', 'aquí costarica']"
8,36,8_adopción de cachorros y cuidados veterinarios,"['adoptarla', 'canina', 'busca hogar', 'perros', 'desparasitada', 'veterinaria', 'perra maldita', 'perra', 'vacuna desparasitado', 'pulgas']"
9,35,9_Social Media Posts Linking to Controversial Content and Calls for Legal Action,"['charlie_311201', 'jail charlie_311201', 'charlie_311201 co', '1bfeav3ydp co', '1bfeav3ydp 95mpq', '1bfeav3ydp', '2ijgukockz alanamador64178', 'alanamador64178 co', 'importante cracks', 'jggds5xy5t info']"
10,24,10_Vaccine Requirements for Traveling to Brazil,"['requieren vacuna', 'fiebre amarilla', 'piden vacuna', 'vacuna fiebre', 'locales vacunados', 'vacuna', 'josebirrero vacuna', 'fiebre', 'planea viajar', 'lugares requieren']"
11,22,11_Carne vacuna en Argentina y efectos de la vacunación en el ganado,"['carne vacuna', 'consumo carne', 'importación carne', 'comer carne', 'ganadero', 'ganadero estadounidense', 'carne', 'vacas', 'ganado', 'vacuna argentina']"
12,16,12_Obligatory Vaccination and Parental Consent Rights,"['obligatoriedad vacuna', 'país vacunar', 'muerta antivacunas', 'niño vacuna', 'si vacuna', 'consentimiento', 'instaurando obligatoriedad', 'vacunas', 'investigación negligencia', 'obligatoriedad']"
13,16,13_Japan COVID-19 Vaccine Consent and Adverse Effects,"['covid japón', 'salud japón', 'pfizer muertes', 'japón co', 'japón admite', 'gobierno japón', 'relacionados vacuna', 'vacuna covid', '2076 fallecimientos', 'japón abril']"
